date,vessel_arrivals,cargo_tonnage,container_teu,bulk_liquid,bulk_dry,roro_units,vessel_type,oil_price,baltic_index,eur_usd,weekday,holiday_be,holiday_eu,strike
2019-02-24,67,627481,15831,216412,144239,2208,Bulk,63.86,1338,1.159,Sunday,0,0,0
2019-02-25,86,873762,22023,299741,175911,2469,Container,68.94,1344,1.1688,Monday,0,0,0
2019-02-26,86,834197,21449,284809,158486,2444,Container,71.34,1481,1.171,Tuesday,0,0,0
2019-02-27,79,866976,21342,304292,180179,2449,Tanker,66.07,1349,1.1732,Wednesday,0,0,0
2019-02-28,78,800801,19592,277886,175086,2380,Container,67.64,1338,1.1812,Thursday,0,0,0
2019-03-01,87,869027,21133,301428,171225,2407,Tanker,68.23,1452,1.1679,Friday,0,0,0
2019-03-02,76,674199,16946,249463,141568,2250,Bulk,65.96,1411,1.1723,Saturday,0,0,0
2019-03-03,71,649475,15310,242696,139725,2282,Tanker,70.39,1346,1.1753,Sunday,0,0,0
2019-03-04,78,813668,20573,268684,170870,2339,Tanker,68.21,1403,1.1773,Monday,0,0,0
2019-03-05,81,780162,19449,276333,157037,2498,Container,69.96,1340,1.1771,Tuesday,0,0,0
2019-03-06,86,846788,21737,288607,163770,2482,Container,66.16,1445,1.1809,Wednesday,0,0,0
2019-03-07,81,893629,22005,310288,178076,2565,Container,67.62,1442,1.1853,Thursday,0,0,0
2019-03-08,82,902613,22464,319007,184191,2384,Container,71.21,1415,1.1812,Friday,0,0,0
2019-03-09,75,712361,18370,247199,149738,2088,RoRo,68.04,1405,1.1822,Saturday,0,0,0
2019-03-10,76,699146,18170,247006,142501,2263,Tanker,74.44,1473,1.1622,Sunday,0,0,0
2019-03-11,81,843605,20750,301991,165682,2544,Container,68.16,1384,1.1788,Monday,0,0,0
2019-03-12,84,840822,21111,297233,172607,2394,Container,70.13,1324,1.1835,Tuesday,0,0,0
2019-03-13,78,819606,20637,280394,170802,2596,Tanker,72.34,1404,1.1863,Wednesday,0,0,0
2019-03-14,76,843948,21286,289090,171826,2539,Tanker,65.38,1484,1.1725,Thursday,0,0,0
2019-03-15,80,835598,20759,278062,160430,2363,Tanker,64.43,1327,1.1731,Friday,0,0,0
2019-03-16,73,687171,17820,231971,135983,2234,Tanker,65.21,1358,1.1743,Saturday,0,0,0
2019-03-17,71,654925,15428,248844,138568,2430,RoRo,73.65,1396,1.1858,Sunday,0,0,0
2019-03-18,78,828930,20513,282205,154722,2319,Container,68.28,1370,1.1911,Monday,0,0,0
2019-03-19,76,838013,21174,281371,150857,2510,Container,77.68,1322,1.177,Tuesday,0,0,0
2019-03-20,78,798078,20181,282527,171680,2365,Tanker,68.37,1426,1.1905,Wednesday,0,0,0
2019-03-21,84,826495,21339,288170,169390,2510,Tanker,70.67,1484,1.183,Thursday,0,0,0
2019-03-22,87,864275,22206,300540,177709,2623,Container,74.8,1375,1.1809,Friday,0,0,0
2019-03-23,79,721974,17907,266781,135780,2244,RoRo,76.24,1318,1.1803,Saturday,0,0,0
2019-03-24,71,685051,17776,245259,142910,2339,RoRo,76.45,1284,1.1902,Sunday,0,0,0
2019-03-25,77,821711,20186,282299,166544,2655,Tanker,73.93,1373,1.1863,Monday,0,0,0
2019-03-26,82,827625,21156,285424,152850,2448,Tanker,73.41,1413,1.2062,Tuesday,0,0,0
2019-03-27,84,850158,22159,292529,181426,2554,Container,72.15,1379,1.1752,Wednesday,0,0,0
2019-03-28,84,862544,22171,310638,173778,2435,Container,72.73,1353,1.1892,Thursday,0,0,0
2019-03-29,71,748131,18756,258764,146458,2324,Tanker,68.76,1321,1.1791,Friday,0,0,0
2019-03-30,69,651206,16114,209991,127217,2159,Tanker,67.98,1294,1.176,Saturday,0,0,0
2019-03-31,73,691795,16531,241645,122237,2317,Tanker,70.44,1388,1.1849,Sunday,0,0,0
2019-04-01,82,814399,20515,269669,167626,2542,Container,69.94,1390,1.1867,Monday,0,0,0
2019-04-02,81,791774,19237,298963,160450,2377,Tanker,69.1,1264,1.2148,Tuesday,0,0,0
2019-04-03,79,781236,19134,263776,154695,2525,Container,72.55,1418,1.184,Wednesday,0,0,0
2019-04-04,80,796465,19316,277144,169521,2548,Tanker,73.32,1365,1.1749,Thursday,0,0,0
2019-04-05,78,764304,18877,270088,141790,2431,Bulk,70.71,1404,1.1892,Friday,0,0,0
2019-04-06,78,742708,18554,257061,143767,2262,RoRo,74.86,1264,1.166,Saturday,0,0,0
2019-04-07,72,646747,16305,223461,122549,2109,RoRo,66.99,1260,1.1861,Sunday,0,0,0
2019-04-08,81,815553,20089,289662,160880,2342,Tanker,69.81,1319,1.1875,Monday,0,0,0
2019-04-09,80,832831,21355,306753,167106,2544,Container,68.21,1348,1.1956,Tuesday,0,0,0
2019-04-10,83,853466,21233,306388,174133,2359,Container,64.73,1410,1.1977,Wednesday,0,0,0
2019-04-11,83,842646,20672,309711,165753,2532,Container,70.05,1353,1.1832,Thursday,0,0,0
2019-04-12,82,833000,20938,281084,159581,2341,Container,69.89,1303,1.187,Friday,0,0,0
2019-04-13,73,659804,17477,234105,145449,2272,Bulk,74.75,1261,1.1811,Saturday,0,0,0
2019-04-14,74,637911,16115,224821,146875,2159,Tanker,72.05,1371,1.1777,Sunday,0,0,0
2019-04-15,82,839252,20800,297249,168997,2592,Container,67.03,1258,1.1924,Monday,0,0,0
2019-04-16,77,793090,19064,291344,152564,2504,Tanker,75.61,1385,1.1768,Tuesday,0,0,0
2019-04-17,83,808784,20110,280867,173560,2557,Container,73.65,1286,1.1857,Wednesday,0,0,0
2019-04-18,77,825439,20753,284849,153514,2584,Container,71.67,1377,1.1801,Thursday,0,0,0
2019-04-19,78,826139,20460,294488,162550,2454,Bulk,69.17,1328,1.1958,Friday,0,0,0
2019-04-20,71,634401,15027,204258,121311,2036,Bulk,66.9,1285,1.2086,Saturday,0,0,0
2019-04-21,74,666470,16236,230896,124018,2094,RoRo,68.58,1262,1.1778,Sunday,0,0,0
2019-04-22,76,804121,20830,280100,158584,2197,Container,72.88,1268,1.1725,Monday,0,0,0
2019-04-23,80,826959,21391,280232,158478,2332,Tanker,75.18,1304,1.1901,Tuesday,0,0,0
2019-04-24,79,832284,20364,301870,166558,2455,Tanker,74.06,1283,1.1917,Wednesday,0,0,0
2019-04-25,81,859753,21830,290291,172168,2434,Tanker,67.87,1246,1.194,Thursday,0,0,0
2019-04-26,85,844230,20516,294122,163875,2448,Tanker,65.88,1264,1.1876,Friday,0,0,0
2019-04-27,77,726026,18853,257041,142241,2338,Tanker,69.56,1273,1.1903,Saturday,0,0,0
2019-04-28,73,689349,17356,254807,136023,2204,RoRo,63.72,1160,1.1962,Sunday,0,0,0
2019-04-29,79,825200,21105,288714,171519,2326,Tanker,69.89,1286,1.2031,Monday,0,0,0
2019-04-30,76,810495,19405,293035,160912,2410,Tanker,68.36,1211,1.1734,Tuesday,0,0,0
2019-05-01,78,689514,17577,248336,144500,2144,Container,67.28,1199,1.1895,Wednesday,1,0,0
2019-05-02,83,835649,20887,293712,171816,2426,Container,63.77,1169,1.1955,Thursday,0,0,0
2019-05-03,77,787155,20105,264609,162003,2515,Tanker,69.97,1160,1.1844,Friday,0,0,0
2019-05-04,76,698165,17912,230012,150736,2220,Tanker,66.7,1179,1.2111,Saturday,0,0,0
2019-05-05,71,648879,16255,228173,120821,2350,RoRo,64.65,1208,1.1876,Sunday,0,0,0
2019-05-06,79,806486,19862,276843,157512,2553,Container,59.41,1337,1.1938,Monday,0,0,0
2019-05-07,84,851522,21678,307225,184411,2419,Tanker,67.8,1210,1.2,Tuesday,0,0,0
2019-05-08,78,814285,20327,292458,160798,2310,Container,73.05,1242,1.1887,Wednesday,0,0,0
2019-05-09,82,873467,21400,303867,152172,2505,Tanker,72.57,1250,1.1763,Thursday,0,0,0
2019-05-10,77,758434,18501,253875,150063,2453,Bulk,66.06,1233,1.1907,Friday,0,0,0
2019-05-11,71,675947,16160,241689,136269,2165,RoRo,65.47,1219,1.2055,Saturday,0,0,0
2019-05-12,73,648185,15949,216685,108700,2263,Tanker,68.52,1160,1.192,Sunday,0,0,0
2019-05-13,89,862931,22125,294441,183258,2615,Container,63.96,1289,1.1871,Monday,0,0,0
2019-05-14,79,833396,20924,281894,160970,2373,Container,67.69,1303,1.205,Tuesday,0,0,0
2019-05-15,76,824246,20341,287101,167478,2369,Container,68.92,1125,1.1926,Wednesday,0,0,0
2019-05-16,72,780039,19903,284716,154200,2441,Tanker,70.13,1155,1.1909,Thursday,0,0,0
2019-05-17,78,774676,18951,271086,144628,2377,Tanker,65.97,1188,1.1977,Friday,0,0,0
2019-05-18,72,703368,17632,241747,132110,2186,Bulk,65.48,1151,1.2041,Saturday,0,0,0
2019-05-19,70,619203,15390,201465,116360,2094,RoRo,63.27,1221,1.2204,Sunday,0,0,0
2019-05-20,80,811688,20682,289612,171023,2410,Container,63.24,1156,1.205,Monday,0,0,0
2019-05-21,77,843885,20309,287556,167597,2309,Container,64.85,1297,1.2084,Tuesday,0,0,0
2019-05-22,74,798974,19549,280816,155620,2475,Tanker,66.44,1245,1.1919,Wednesday,0,0,0
2019-05-23,84,871347,20965,301429,166793,2459,Tanker,67.89,1192,1.1869,Thursday,0,0,0
2019-05-24,83,856941,21294,308311,180957,2207,Tanker,62.54,1230,1.1979,Friday,0,0,0
2019-05-25,70,652262,16912,226719,142166,2176,Tanker,69.23,1230,1.1985,Saturday,0,0,0
2019-05-26,65,633445,15583,221116,136167,2076,Tanker,63.73,1143,1.1868,Sunday,0,0,0
2019-05-27,79,762380,18804,271690,156415,2512,Container,64.28,1127,1.1959,Monday,0,0,0
2019-05-28,84,807827,20632,303809,163884,2353,Container,61.89,1169,1.2018,Tuesday,0,0,0
2019-05-29,84,865247,22165,311721,163322,2388,Container,56.65,1205,1.2015,Wednesday,0,0,0
2019-05-30,78,817088,20383,285095,161451,2476,Container,66.36,1165,1.2031,Thursday,0,0,0
2019-05-31,81,829483,21079,290351,160426,2378,Container,65.71,1076,1.2011,Friday,0,0,0
2019-06-01,68,661002,15987,226102,117596,2114,Tanker,62.43,1111,1.1932,Saturday,0,0,0
2019-06-02,77,692431,18000,232851,146943,2290,Bulk,63.26,1145,1.1933,Sunday,0,0,0
2019-06-03,81,821551,21613,282015,158744,2328,Container,64.39,1141,1.1865,Monday,0,0,0
2019-06-04,77,846009,21411,288382,178769,2323,Container,57.93,1240,1.2165,Tuesday,0,0,0
2019-06-05,81,835464,19844,298946,174147,2626,Tanker,60.8,1069,1.1988,Wednesday,0,0,0
2019-06-06,81,799984,19720,269282,164451,2458,Container,64.54,1161,1.1966,Thursday,0,0,0
2019-06-07,79,802283,20363,294131,165360,2377,Container,58.17,1206,1.1896,Friday,0,0,0
2019-06-08,76,749382,18524,269804,144954,2324,Tanker,62.58,1242,1.2283,Saturday,0,0,0
2019-06-09,70,691756,17930,242320,153214,2288,RoRo,57.4,1105,1.1883,Sunday,0,0,0
2019-06-10,86,879254,22275,307742,176196,2616,Container,62.63,1147,1.1949,Monday,0,0,0
2019-06-11,81,855407,21032,293820,173497,2408,Tanker,60.89,1148,1.2034,Tuesday,0,0,0
2019-06-12,76,857990,21466,302997,166405,2524,Container,55.91,1126,1.2053,Wednesday,0,0,0
2019-06-13,78,792091,19355,288113,150969,2337,Tanker,64.01,1108,1.2089,Thursday,0,0,0
2019-06-14,84,833059,20735,284539,170430,2431,Tanker,58.07,1132,1.2175,Friday,0,0,0
2019-06-15,74,719435,17709,236468,145627,2295,Tanker,57.6,981,1.2046,Saturday,0,0,0
2019-06-16,82,745148,19216,267834,142715,2317,Tanker,60.39,1138,1.189,Sunday,0,0,0
2019-06-17,85,874240,22914,309228,163341,2585,Container,62.99,1108,1.197,Monday,0,0,0
2019-06-18,86,901661,21826,304379,170173,2601,Container,56.25,1087,1.2027,Tuesday,0,0,0
2019-06-19,84,880286,21046,300766,185626,2370,Container,59.24,1198,1.2204,Wednesday,0,0,0
2019-06-20,81,832470,20689,282773,161588,2313,Container,60.09,1059,1.1858,Thursday,0,0,0
2019-06-21,81,847578,20430,289407,166804,2434,Container,60.64,1070,1.2118,Friday,0,0,0
2019-06-22,75,745069,18650,257537,160617,2500,Tanker,58.84,1187,1.2016,Saturday,0,0,0
2019-06-23,74,665774,17019,230355,124178,2114,RoRo,56.96,1043,1.2082,Sunday,0,0,0
2019-06-24,80,855911,22145,293061,165366,2463,Tanker,55.32,1054,1.1989,Monday,0,0,0
2019-06-25,79,855956,21500,292003,165041,2430,Tanker,57.81,1071,1.1915,Tuesday,0,0,0
2019-06-26,83,920674,22920,319948,197079,2526,Tanker,54.09,1118,1.2075,Wednesday,0,0,0
2019-06-27,86,813491,19348,286399,178645,2438,Container,48.29,1084,1.2065,Thursday,0,0,0
2019-06-28,86,888717,22231,307888,183756,2673,Container,58.11,1006,1.2097,Friday,0,0,0
2019-06-29,75,711402,17821,260577,148547,2313,RoRo,59.26,1042,1.1999,Saturday,0,0,0
2019-06-30,69,669431,17055,239382,129243,2124,RoRo,49.2,1036,1.194,Sunday,0,0,0
2019-07-01,88,914742,22514,304251,198527,2847,Container,53.01,1060,1.1844,Monday,0,0,0
2019-07-02,84,894166,22137,318195,180975,2549,Container,57.64,1082,1.2082,Tuesday,0,0,0
2019-07-03,86,910013,22011,324560,188827,2507,Tanker,61.71,1080,1.2042,Wednesday,0,0,0
2019-07-04,82,896535,21268,309440,178463,2686,Container,55.34,968,1.1903,Thursday,0,0,0
2019-07-05,87,934175,22800,312009,184691,2554,Container,52.84,1107,1.1946,Friday,0,0,0
2019-07-06,77,772004,18515,270282,167705,2524,RoRo,54.23,1064,1.1953,Saturday,0,0,0
2019-07-07,72,710239,17924,248507,146366,2178,Tanker,58.65,1119,1.1851,Sunday,0,0,0
2019-07-08,87,900473,22253,303949,191706,2694,Tanker,52.33,1070,1.1917,Monday,0,0,0
2019-07-09,82,926139,22884,309636,187270,2609,Container,51.62,1100,1.1886,Tuesday,0,0,0
2019-07-10,85,867470,21195,302739,166707,2630,Container,52.32,1067,1.1957,Wednesday,0,0,0
2019-07-11,86,874464,20245,303732,170226,2702,Container,50.66,1109,1.1924,Thursday,0,0,0
2019-07-12,81,870027,22505,300337,174829,2392,Container,53.64,1065,1.1835,Friday,0,0,0
2019-07-13,71,696670,16917,243000,134322,2373,Tanker,57.89,1033,1.22,Saturday,0,0,0
2019-07-14,75,735352,18178,246345,138211,2162,RoRo,53.74,1149,1.2122,Sunday,0,0,0
2019-07-15,83,844469,20384,291216,178505,2362,Container,51.77,1078,1.1919,Monday,0,0,0
2019-07-16,84,898553,22950,319827,175352,2467,Container,51.4,1061,1.2023,Tuesday,0,0,0
2019-07-17,88,926689,23239,320841,186443,2640,Tanker,47.35,966,1.2037,Wednesday,0,0,0
2019-07-18,89,878639,21553,290804,178097,2521,Container,54.44,964,1.2114,Thursday,0,0,0
2019-07-19,86,940679,23321,324511,183431,2594,Container,51.32,1042,1.1912,Friday,0,0,0
2019-07-20,71,733076,19166,245875,158222,2314,Tanker,50.77,1033,1.2103,Saturday,0,0,0
2019-07-21,71,612196,15268,216940,113502,2177,RoRo,60.65,993,1.1938,Sunday,1,0,0
2019-07-22,92,928871,23131,328293,187867,2660,Container,51.73,1030,1.1859,Monday,0,0,0
2019-07-23,84,860494,21042,284585,174068,2600,Container,48.34,1101,1.2064,Tuesday,0,0,0
2019-07-24,87,994676,23920,355727,198501,2874,Container,49.08,1055,1.212,Wednesday,0,0,0
2019-07-25,85,901710,22463,304477,169967,2550,Container,53.57,961,1.2249,Thursday,0,0,0
2019-07-26,80,873561,22002,321338,181679,2458,Container,50.23,1012,1.1869,Friday,0,0,0
2019-07-27,78,747177,19229,261024,155383,2382,Tanker,45.35,976,1.2058,Saturday,0,0,0
2019-07-28,72,738339,17334,245955,142263,2193,Tanker,52.19,996,1.1946,Sunday,0,0,0
2019-07-29,85,917392,22372,309667,189138,2508,Container,47.21,993,1.2064,Monday,0,0,0
2019-07-30,83,913083,22537,323060,185616,2670,Container,54.61,989,1.1838,Tuesday,0,0,0
2019-07-31,86,906076,22650,313214,170970,2547,Container,52.01,949,1.1858,Wednesday,0,0,0
2019-08-01,81,840973,20952,293374,161363,2341,Container,47.2,1005,1.1905,Thursday,0,1,0
2019-08-02,80,794641,19805,294252,168034,2243,Bulk,52.17,982,1.199,Friday,0,1,0
2019-08-03,70,632495,16016,214381,128974,2154,Tanker,48.32,863,1.1916,Saturday,0,1,0
2019-08-04,69,657715,15991,230800,127029,2301,Tanker,50.46,1111,1.2045,Sunday,0,1,0
2019-08-05,79,761410,19502,280692,145414,2455,Container,49.15,1062,1.2081,Monday,0,1,0
2019-08-06,82,839916,21215,296676,163860,2471,Container,44.94,989,1.2037,Tuesday,0,1,0
2019-08-07,77,804835,19961,265626,157411,2608,Tanker,45.35,1008,1.2137,Wednesday,0,1,0
2019-08-08,88,830642,21567,295779,159361,2435,Tanker,50.17,948,1.2016,Thursday,0,1,0
2019-08-09,85,866942,22452,291800,159454,2487,Container,45.87,1091,1.1851,Friday,0,1,0
2019-08-10,73,686276,17623,254265,146375,1973,Bulk,45.47,1100,1.2108,Saturday,0,1,0
2019-08-11,78,705378,16125,238654,148841,2213,Bulk,43.62,1013,1.1909,Sunday,0,1,0
2019-08-12,87,830060,21541,320216,155826,2530,Container,47.56,1056,1.2059,Monday,0,1,0
2019-08-13,84,885101,22525,324459,178111,2684,Container,52.29,1014,1.2124,Tuesday,0,1,0
2019-08-14,82,831632,21794,283105,159108,2364,Container,42.72,938,1.2011,Wednesday,0,1,0
2019-08-15,77,815869,21015,285754,161081,2470,Container,45.81,984,1.1814,Thursday,0,1,0
2019-08-16,82,849346,22023,304808,167111,2579,Container,49.79,1011,1.187,Friday,0,1,0
2019-08-17,74,705103,18067,254623,137598,2259,Tanker,45.14,982,1.2093,Saturday,0,1,0
2019-08-18,72,653354,17008,233097,146694,1952,Bulk,46.56,994,1.1942,Sunday,0,1,0
2019-08-19,88,940540,24511,341711,184585,2636,Container,41.85,1000,1.1965,Monday,0,0,0
2019-08-20,89,945494,23746,329693,182633,2694,Container,46.15,1001,1.2031,Tuesday,0,0,0
2019-08-21,91,993667,24056,344116,192633,2596,Container,44.15,1008,1.2023,Wednesday,0,0,0
2019-08-22,81,888454,22058,307490,186041,2507,Container,47.5,953,1.198,Thursday,0,0,0
2019-08-23,84,937786,23640,336809,174340,2491,Container,47.95,970,1.1929,Friday,0,0,0
2019-08-24,80,836565,20952,296450,161212,2198,Bulk,52.01,942,1.1917,Saturday,0,0,0
2019-08-25,78,796641,19293,281737,170903,2498,Bulk,45.83,1056,1.2032,Sunday,0,0,0
2019-08-26,93,994506,24047,356029,200853,2691,Container,44.92,902,1.1999,Monday,0,0,0
2019-08-27,85,957827,23575,314729,193101,2797,Container,44.38,1066,1.1916,Tuesday,0,0,0
2019-08-28,87,961035,24430,339463,209264,2727,Container,42.6,1078,1.2048,Wednesday,0,0,0
2019-08-29,92,977318,25223,344247,197434,2631,Container,44.54,995,1.1925,Thursday,0,0,0
2019-08-30,87,948934,24182,348815,184121,2615,Bulk,42.51,880,1.1851,Friday,0,0,0
2019-08-31,82,824695,21146,273357,162682,2494,RoRo,43.77,993,1.1858,Saturday,0,0,0
2019-09-01,80,810411,20220,299216,152999,2512,Bulk,47.1,1009,1.1834,Sunday,0,0,0
2019-09-02,89,951163,22908,333661,200280,2659,Tanker,40.01,963,1.1902,Monday,0,0,0
2019-09-03,87,943391,23357,335077,193275,2726,Container,46.33,989,1.2051,Tuesday,0,0,0
2019-09-04,90,954639,23737,350883,199923,2602,Container,46.75,1092,1.1844,Wednesday,0,0,0
2019-09-05,87,1012365,25061,359935,212177,2619,Container,42.34,1050,1.1941,Thursday,0,0,0
2019-09-06,82,867313,21710,307563,170149,2494,Tanker,36.22,972,1.1855,Friday,0,0,0
2019-09-07,83,855701,21613,301918,163582,2504,Bulk,40.66,939,1.1892,Saturday,0,0,0
2019-09-08,81,803418,20512,276362,160270,2285,Tanker,46.28,1004,1.1765,Sunday,0,0,0
2019-09-09,91,927283,23043,324264,178475,2457,Tanker,42.23,1011,1.1891,Monday,0,0,0
2019-09-10,89,987760,23742,338561,198872,2726,Container,39.21,1048,1.1891,Tuesday,0,0,0
2019-09-11,95,992713,24576,347004,207599,2648,Container,40.61,998,1.1962,Wednesday,0,0,0
2019-09-12,88,993726,24865,324445,197400,2674,Tanker,44.57,1052,1.1928,Thursday,0,0,0
2019-09-13,88,890916,22884,316111,179383,2500,Tanker,43.61,1124,1.1783,Friday,0,0,0
2019-09-14,87,896993,22141,312730,178648,2698,Tanker,41.19,1070,1.2009,Saturday,0,0,0
2019-09-15,76,793046,20082,274204,165031,2516,Tanker,40.74,1029,1.1919,Sunday,0,0,0
2019-09-16,92,1006442,25306,354452,195946,2586,Container,40.6,1024,1.1915,Monday,0,0,0
2019-09-17,91,1005143,25151,337464,183457,2654,Container,38.95,1017,1.1892,Tuesday,0,0,0
2019-09-18,90,956725,24383,354146,195112,2720,Container,46.51,1095,1.1838,Wednesday,0,0,0
2019-09-19,79,802996,19744,280021,168502,2465,Container,40.65,1007,1.1909,Thursday,0,0,1
2019-09-20,87,958521,23675,334024,195275,2634,Container,45.22,1042,1.1932,Friday,0,0,0
2019-09-21,83,792865,19816,267849,153451,2276,RoRo,46.09,1045,1.1707,Saturday,0,0,0
2019-09-22,82,851019,20955,298096,161124,2408,RoRo,44.49,1019,1.1825,Sunday,0,0,0
2019-09-23,91,965620,24395,351837,197080,2597,Container,40.17,978,1.1851,Monday,0,0,0
2019-09-24,88,960716,23661,346610,193275,2669,Container,42.65,1065,1.1899,Tuesday,0,0,0
2019-09-25,94,978307,24571,350952,194655,2838,Container,41.34,1048,1.199,Wednesday,0,0,0
2019-09-26,89,1001307,24983,355921,214841,2633,Container,38.68,1078,1.1791,Thursday,0,0,0
2019-09-27,87,974829,24478,337605,187391,2560,Tanker,42.35,1028,1.1815,Friday,0,0,0
2019-09-28,89,887537,21959,296136,191708,2520,Tanker,37.83,1119,1.1811,Saturday,0,0,0
